id	abbreviation	name
rxn00142	R00193	S-Adenosyl-L-homocysteine aminohydrolase
rxn00143	R00194	S-Adenosyl-L-homocysteine homocysteinylribohydrolase
rxn00144	R00195	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)
rxn00145	R00196	(S)-Lactate:ferricytochrome-c 2-oxidoreductase
rxn00146	R00197	(R)-Lactate:ferricytochrome-c 2-oxidoreductase
rxn00147	R00199	ATP:pyruvate,water phosphotransferase
rxn00148	R00200	ATP:pyruvate 2-O-phosphotransferase
rxn00149	R00203	pyruvaldehyde:NAD+ oxidoreductase
rxn00150	R00205	2-Oxopropanal:NADP+ oxidoreductase
rxn00151	R00206	ATP:pyruvate,phosphate phosphotransferase
rxn00152	R00207	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)
rxn00153	R00208	Phosphoenolpyruvate phosphohydrolase
rxn00154	R00209	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)
rxn00155	R00210	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)
rxn00156	R00211	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)
rxn00157	R00212	Acetyl-CoA:formate C-acetyltransferase
rxn00158	R00213	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)
rxn00159	R00214	(S)-malate:NAD+ oxidoreductase (decarboxylating)
rxn00160	R00215	(R)-Malate:NAD+ oxidoreductase (decarboxylating)
rxn00161	R00216	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)
rxn00162	R00217	oxaloacetate carboxy-lyase (pyruvate-forming)
rxn00163	R00218	acetylenedicarboxylate carboxy-lyase (pyruvate-forming)
rxn00164	R00219	2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)
rxn00165	R00220	L-serine ammonia-lyase
rxn00166	R00221	D-serine ammonia-lyase
rxn00168	R00224	pyruvate carboxy-lyase (acetaldehyde-forming)
rxn00170	R00227	Acetyl-CoA hydrolase
rxn00171	R00228	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)
rxn00172	R00229	Acetate:CoA ligase (ADP-forming)
rxn00173	R00230	acetyl-CoA:phosphate acetyltransferase
rxn00174	R00233	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)
rxn00175	R00235	Acetate:CoA ligase (AMP-forming)
rxn00176	R00236	acetyl adenylate:CoA acetyltransferase
rxn00177	R00237	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)
rxn00178	R00238	Acetyl-CoA:acetyl-CoA C-acetyltransferase
rxn00179	R00239	ATP:L-glutamate 5-phosphotransferase
rxn00180	PRO1	Glutamate 5-kinase
rxn00181	R00241	ATP:L-glutamate 1-phosphotransferase
rxn00182	R00243	L-glutamate:NAD+ oxidoreductase (deaminating)
rxn00183	R00245	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase
rxn00184	R00248	L-Glutamate:NADP+ oxidoreductase (deaminating)
rxn00185	R00250	L-Glutamate:oxygen oxidoreductase (deaminating)
rxn00186	R00251	5-oxo-L-proline amidohydrolase (ATP-hydrolysing)
rxn00187	R00253	L-Glutamate:ammonia ligase (ADP-forming)
rxn00188	R00254	N-carbamyl-L-glutamate amidohydrolase
rxn00189	R00256	L-Glutamine amidohydrolase
rxn00190	R00257	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)
rxn00191	R00258	L-Alanine:2-oxoglutarate aminotransferase
rxn00192	R00259	acetyl-CoA:L-glutamate N-acetyltransferase
rxn00193	R00260	glutamate racemase
rxn00194	R00261	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)
rxn00195	R00262	L-threo-3-Methylaspartate carboxy-aminomethylmutase
rxn00196	R00264	2,5-dioxopentanoate:NADP+ 5-oxidoreductase
rxn00197	R00265	2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)
rxn00198	R00267	Isocitrate:NADP+ oxidoreductase (decarboxylating)
rxn00199	R00268	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)
rxn00200	R00269	2-oxoglutaramate amidohydrolase
rxn00201	R00270	R00270
rxn00202	R00271	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)
rxn00203	R00272	2-Oxoglutarate carboxy-lyase
rxn00204	R00273	oxalate:oxygen oxidoreductase
rxn00205	R00274	glutathione:hydrogen-peroxide oxidoreductase
rxn00206	R00275	superoxide:superoxide oxidoreductase
rxn00207	R00276	Carbon-monoxide:oxygen oxidoreductase
rxn00208	R00277	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)
rxn00209	R00278	Pyridoxine 5-phosphate:oxygen oxidoreductase
rxn00210	R00279	D-Glutamate:oxygen oxidoreductase (deaminating)
rxn00211	R00286	UDP-glucose:NAD+ 6-oxidoreductase
rxn00212	R00287	UDP-glucose glucophosphohydrolase
rxn00213	R00289	UTP:alpha-D-glucose-1-phosphate uridylyltransferase
rxn00214	R00291	UDP-glucose 4-epimerase
rxn00215	R00293	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)
rxn00216	R00299	ATP:D-glucose 6-phosphotransferase
rxn00217	R00300	D-Glucose:NAD+ 1-oxidoreductase
rxn00218	R00301	D-Glucose:NADP+ 1-oxidoreductase
rxn00219	R00302	D-glucose:oxygen 2-oxidoreductase
rxn00220	R00303	D-Glucose-6-phosphate phosphohydrolase
rxn00221	R00304	D-Glucose-1-phosphate phosphohydrolase
rxn00222	R00306	cellobiose glucohydrolase
rxn00223	R00307	D-glucose aldose-ketose-isomerase
rxn00224	R00310	protoheme ferro-lyase (protoporphyrin-forming)
rxn00225	R00315	ATP:acetate phosphotransferase
rxn00226	R00316	ATP:acetate adenylyltransferase
rxn00227	R00317	Acetyl phosphate phosphohydrolase
rxn00228	R00318	Phosphonoacetate phosphonohydrolase
rxn00229	R00319	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)
rxn00230	R00320	diphosphate:acetate phosphotransferase
rxn00231	R00321	Acetamide amidohydrolase
rxn00232	R00322	5'-acetylphosphoadenosine acetylhydrolase
rxn00233	R00324	2,4-dioxopentanoate acetylhydrolase
rxn00234	R00325	(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming)
rxn00235	R00327	6-Acetyl-D-glucose acetylhydrolase
rxn00236	R00328	GDP phosphohydrolase
rxn00237	R00330	ATP:GDP phosphotransferase
rxn00238	R00331	ATP:nucleoside-diphosphate phosphotransferase
rxn00239	R00332	ATP:GMP phosphotransferase
rxn00240	R00333	nucleoside-triphosphate:AMP phosphotransferase
rxn00241	R00335	GTP phosphohydrolase
rxn00242	R00336	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase
rxn00243	R00337	GDP-glucose glucohydrolase
rxn00244	R00338	Oxaloacetate acetylhydrolase
rxn00245	R00339	(R,R)-tartrate hydro-lyase (oxaloacetate-forming)
rxn00247	R00341	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
rxn00248	R00342	(S)-malate:NAD+ oxidoreductase
rxn00249	R00343	(S)-malate:NADP+ oxidoreductase
rxn00250	R00344	Pyruvate:carbon-dioxide ligase (ADP-forming)
rxn00251	R00345	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)
rxn00252	R00346	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
rxn00253	R00347	erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)
rxn00254	R00348	2-oxosuccinamate amidohydrolase
rxn00255	R00350	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)
rxn00256	R00351	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)
rxn00257	R00352	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]
rxn00258	R00353	Malonyl-CoA:pyruvate carboxytransferase
rxn00259	R00354	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)
rxn00260	R00355	L-Aspartate:2-oxoglutarate aminotransferase
rxn00261	rxn00261	rxn00261
rxn00262	R00357	L-Aspartic acid:oxygen oxidoreductase (deaminating)
rxn00263	R00359	D-Aspartate:oxygen oxidoreductase (deaminating)
rxn00264	R00360	(S)-Malate:oxygen oxidoreductase
rxn00265	R00362	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate)
rxn00266	R00363	Oxaloacetate keto-enol-isomerase
rxn00267	R00364	Glycine:ferricytochrome-c oxidoreductase (deaminating)
rxn00268	R00365	glycine:NAD+ oxidoreductase (deaminating)
rxn00269	R00366	glycine:oxygen oxidoreductase (deaminating)
rxn00270	R00367	S-Adenosyl-L-methionine:glycine N-methyltransferase
rxn00271	R00368	N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming)
rxn00272	R00369	L-Alanine:glyoxylate aminotransferase
rxn00273	rbs_30	Acetyl-CoA:glycine C-acetyltransferase
rxn00274	R00371	Acetyl-CoA:glycine C-acetyltransferase
rxn00275	R00372	Glycine:2-oxoglutarate aminotransferase
rxn00276	R00373	Glycine:oxaloacetate aminotransferase
rxn00277	rxn00277	rxn00277
rxn00278	R00396	L-Alanine:NAD+ oxidoreductase (deaminating)
rxn00279	R00397	L-aspartate 4-carboxy-lyase (L-alanine-forming)
rxn00280	R00398	2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)
rxn00281	rxn00281	rxn00281
rxn00282	R00400	L-alanine:oxaloacetate aminotransferase
rxn00283	R00401	alanine racemase
rxn00284	R00402	succinate:NAD+ oxidoreductase
rxn00285	R00405	Succinate:CoA ligase (ADP-forming)
rxn00286	R00406	succinyl-CoA:malate CoA-transferase
rxn00287	R00407	Succinyl-CoA hydrolase
rxn00288	R00408	Succinate:(acceptor) oxidoreductase
rxn00289	R00409	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)
rxn00290	R00410	succinyl-CoA:acetoacetate CoA-transferase
rxn00291	R00411	N-succinyl-L-glutamate amidohydrolase
rxn00292	R00414	UDP-N-acetyl-D-glucosamine 2-epimerase
rxn00293	R00416	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase
rxn00295	R00418	UDP-N-acetyl-D-glucosamine 4-epimerase
rxn00296	rxn00296	rxn00296
rxn00297	R00420	UDP-N-acetyl-D-glucosamine 2-epimerase
rxn00298	R00421	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase
rxn00299	R00424	GTP 7,8-8,9-dihydrolase
rxn00300	R00425	GTP 7,8-8,9-dihydrolase (diphosphate-forming)
rxn00301	R00426	GTP diphosphohydrolase (diphosphate-forming)
rxn00302	R00428	GTP 8,9-hydrolase
rxn00303	R00429	ATP:GTP 3'-diphosphotransferase
rxn00304	R00430	GTP:pyruvate 2-O-phosphotransferase
rxn00305	R00431	GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming)
rxn00306	R00432	Succinate:CoA ligase (GDP-forming)
rxn00307	R00434	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)
rxn00308	R00445	L-lysine:NAD+ oxidoreductase (deaminating, cyclizing)
rxn00309	R00446	L-Lysine:NAD+ 6-oxidoreductase (deaminating)
rxn00310	R00447	L-lysine:oxygen 2-oxidoreductase (deaminating)
rxn00311	R00448	L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)
rxn00312	R00449	L-Lysine:oxygen 2-oxidoreductase (decarboxylating)
rxn00313	R00451	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)
rxn00314	R00452	N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)
rxn00315	R00453	L-Lysine:pyruvate aminotransferase
rxn00316	R00454	acetyl-CoA:L-lysine N6-acetyltransferase
rxn00317	R00457	L-Lysine:2-oxoglutarate 6-aminotransferase
rxn00318	R00458	N6-acetyl-L-lysine amidohydrolase
rxn00319	rxn00319	rxn00319
rxn00320	R00460	lysine racemase
rxn00321	R00461	L-Lysine 2,3-aminomutase
rxn00322	R00462	L-lysine carboxy-lyase (cadaverine-forming)
rxn00323	R00463	L-Lysine-1,6-lactam lactamhydrolase
rxn00324	R00465	glycolate:NADP+ oxidoreductase
rxn00325	R00466	Glyoxylate:oxygen oxidoreductase
rxn00326	R00468	Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)
rxn00327	R00469	(S)-ureidoglycolate amidohydrolase (decarboxylating)
rxn00328	R00470	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)
rxn00330	R00472	acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)
rxn00331	R00473	(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)
rxn00332	R00474	2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating)
rxn00333	R00475	Glycolate:oxygen 2-oxidoreductase
rxn00334	R00477	3-oxalomalate glyoxylate-lyase (oxaloacetate-forming)
rxn00335	R00478	erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)
rxn00336	R00479	isocitrate glyoxylate-lyase (succinate-forming)
rxn00337	R00480	ATP:L-aspartate 4-phosphotransferase
rxn00338	R00481	L-aspartate:oxygen oxidoreductase
rxn00339	R00482	L-Aspartate:ammonia ligase (ADP-forming)
rxn00340	R00483	L-aspartate:ammonia ligase (AMP-forming)
rxn00341	R00484	N-Carbamoyl-L-aspartate amidohydrolase
rxn00342	R00485	L-Asparagine amidohydrolase
rxn00343	R00486	3-Cyano-L-alanine aminohydrolase
rxn00344	R00487	Acetyl-CoA:L-aspartate N-acetyltransferase
rxn00345	R00488	N-Acetyl-L-aspartate amidohydrolase
rxn00346	R00489	L-aspartate 1-carboxy-lyase (beta-alanine-forming)
rxn00347	R00490	L-Aspartate ammonia-lyase
rxn00348	R00491	aspartate racemase
rxn00349	rxn00349	rxn00349
rxn00350	R00494	glutathione gamma-glutamylaminopeptidase
rxn00351	R00497	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)
rxn00352	R00499	S-Succinylglutathione hydrolase
rxn00353	rxn00353	rxn00353
rxn00354	R00501	UDP-D-galactose:NAD+ 6-oxidoreductase
rxn00355	R00502	UTP:alpha-D-galactose-1-phosphate uridylyltransferase
rxn00356	R00503	UDP-galactose:D-glucose 4-beta-D-galactosyltransferase
rxn00357	R00504	UDP-galactose:UDP-N-acetyl-D-glucosamine galactose phosphotransferase
rxn00358	R00505	UDP-D-galactopyranose furanomutase
rxn00359	R00507	3'-phosphoadenylyl-sulfate sulfohydrolase
rxn00360	R00508	3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase
rxn00361	R00509	ATP:adenylylsulfate 3'-phosphotransferase
rxn00362	R00510	Cytidine-5'-monophosphate phosphoribohydrolase
rxn00363	R00511	Cytidine-5'-monophosphate phosphohydrolase
rxn00364	R00512	ATP:CMP phosphotransferase
rxn00365	R00513	ATP:cytidine 5'-phosphotransferase
rxn00366	R00514	CDP phosphohydrolase
rxn00367	R00515	CTP diphosphohydrolase (diphosphate-forming)
rxn00368	R00516	UTP:cytidine 5'-phosphotransferase
rxn00369	R00517	GTP:cytidine 5'-phosphotransferase
rxn00370	R00518	ATP:formate phosphotransferase
rxn00371	R00519	Formate:NAD+ oxidoreductase
rxn00372	R00521	Formyl-CoA hydrolase
rxn00373	R00522	Oxalate carboxy-lyase
rxn00374	R00524	Formamide amidohydrolase
rxn00375	R00525	N-Formyl-L-glutamate amidohydrolase
rxn00376	R00526	N-Formyl-L-aspartate amidohydrolase
rxn00377	R00527	S-Formylglutathione hydrolase
rxn00378	R00528	Sulfite:ferricytochrome-c oxidoreductase
rxn00379	R00529	ATP:sulfate adenylyltransferase
rxn00380	R00530	ADP:sulfate adenylyltransferase
rxn00381	R00531	Adenylylsulfate sulfohydrolase
rxn00382	R00532	L-Serine-O-sulfate ammonia-lyase (pyruvate-forming)
rxn00383	R00533	Sulfite:oxygen oxidoreductase
rxn00384	R00534	D-Glucose 6-sulfate sulfohydrolase
rxn00385	R00535	3'-Phosphoadenylylsulfate:17beta-estradiol 3-sulfotransferase
rxn00386	R00536	3'-Phosphoadenylylsulfate:phenolic-steroid sulfotransferase
rxn00387	R00537	3'-Phosphoadenylylsulfate:phenolic-steroid sulfotransferase
rxn00388	R00540	Nitrile aminohydrolase
rxn00389	R00545	N6-Acyl-L-lysine amidohydrolase
rxn00390	R00546	N-Acyl-L-aspartate amidohydrolase
rxn00391	R00548	riboflavin-5-phosphate phosphohydrolase (acid optimum)
rxn00392	R00549	ATP:riboflavin 5'-phosphotransferase
rxn00393	R00550	D-Glucose-1-phosphate:riboflavin 5'-phosphotransferase
rxn00394	R00551	L-Arginine amidinohydrolase
rxn00395	R00552	L-Arginine iminohydrolase
rxn00396	R00554	ATP:L-arginine Nomega-phosphotransferase
rxn00397	NAD+:L-arginine ADP-D-ribosyltransferase	NAD+:L-arginine ADP-D-ribosyltransferase
rxn00398	ARG-OXIDATION-RXN.c	ARG-OXIDATION-RXN.c
rxn00399	L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)
rxn00400	R00558	L-Arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)
rxn00401	R00559	L-Arginine:oxygen 2-oxidoreductase (decarboxylating)
rxn00402	R00562	N2-(D-1-carboxyethyl)-L-arginine:NAD+ oxidoreductase (L-arginine-forming)
rxn00403	R00563	N2-(D-1,3-dicarboxypropyl)-L-arginine:NADP+ oxidoreductase (L-arginine-forming)
rxn00404	R00565	L-Arginine:glycine amidinotransferase
